0	2	1214
1	2	108
2	0	1969
2	1	128
3	0	1969
3	1	980
4	2	2067
5	2	1116
6	2	757
7	2	585
8	2	2030
9	0	409
9	1	128
10	2	727
11	2	597
12	2	450
13	2	3022
14	2	1762
15	2	2843
16	0	1969
16	1	3178
17	0	1969
17	1	1464
18	2	2243
19	0	2156
19	1	1464
20	2	606
21	0	162
21	1	838
22	2	2968
23	2	640
24	2	2806
25	2	3416
26	2	2297
27	2	2139
28	2	54
29	2	1345
30	2	1570
31	0	1969
31	1	2243
32	0	2156
32	1	3178
33	2	3230
34	2	714
35	2	3359
36	0	409
36	1	3178
37	2	3215
38	0	802
38	1	852
39	0	802
39	1	838
40	2	1323
41	2	2152
42	2	689
43	2	3474
44	0	3111
44	1	980
45	0	2156
45	1	606
46	2	3293
47	0	2239
47	1	980
48	0	1638
48	1	128
49	2	2480
50	2	2976
51	2	2274
52	0	2239
52	1	128
53	2	2119
54	2	1579
55	0	1969
55	1	1511
56	0	2361
56	1	980
57	2	328
58	2	1991
59	2	335
60	0	1969
60	1	585
61	0	409
61	1	1095
62	2	783
63	2	994
64	0	2156
64	1	334
65	0	2446
65	1	2243
66	2	3289
67	2	1383
68	0	2156
68	1	1830
69	2	2328
70	2	528
71	2	867
72	2	2564
73	2	530
74	0	2156
74	1	1345
75	2	1574
76	0	3262
76	1	128
77	2	2591
78	0	1969
78	1	1138
79	0	2239
79	1	1830
80	2	263
81	0	3037
81	1	1345
82	0	2446
82	1	2395
83	0	2906
83	1	2843
84	2	1485
85	0	87
85	1	1830
86	0	2446
86	1	606
87	0	36
87	1	2030
88	2	1414
89	0	409
89	1	1070
90	0	3282
90	1	128
91	0	87
91	1	239
92	0	1969
92	1	3333
93	0	2156
93	1	3333
94	2	645
95	2	3430
96	2	178
97	2	2797
98	2	1301
99	0	1969
99	1	3136
100	0	87
100	1	2243
101	0	2156
101	1	239
102	0	1689
102	1	980
103	0	2239
103	1	334
104	2	2004
105	0	2194
105	1	1087
106	0	3111
106	1	128
107	0	1969
107	1	3215
108	0	272
108	1	606
109	0	2239
109	1	1214
110	0	1033
110	1	3178
111	2	1925
112	0	409
112	1	838
113	2	2453
114	2	2421
115	2	721
116	2	769
117	0	2466
117	1	1070
118	2	2410
119	0	946
119	1	1464
120	2	1083
121	0	1969
121	1	1570
122	0	2239
122	1	1095
123	2	862
124	0	1428
124	1	980
125	0	1969
125	1	1083
126	2	3077
127	0	87
127	1	334
128	2	2615
129	0	2446
129	1	852
130	2	414
131	2	2963
132	0	1428
132	1	2843
133	2	2059
134	0	2156
134	1	1122
135	2	213
136	0	415
136	1	128
137	0	409
137	1	3424
138	2	126
139	2	1468
140	0	1969
140	1	3424
141	2	2669
142	2	2760
143	0	1460
143	1	606
144	0	1638
144	1	108
145	2	1065
146	0	1969
146	1	817
147	2	2280
148	2	3459
149	0	290
149	1	606
150	2	2367
151	0	419
151	1	1464
152	2	1108
153	2	1795
154	0	1547
