0	2	7412
1	2	3284
2	0	5432
2	1	5671
3	0	6725
3	1	5671
4	0	7266
4	1	5671
5	0	7044
5	1	5671
6	2	3777
7	0	6522
7	1	8138
8	0	7404
8	1	4510
9	0	7044
9	1	4510
10	2	8107
11	0	1163
11	1	4510
12	2	2941
13	2	7973
14	0	7404
14	1	5463
15	0	7044
15	1	5463
16	2	7474
17	2	2540
18	0	3915
18	1	5463
19	0	7404
19	1	5261
20	0	4776
20	1	5261
21	2	8374
22	0	7044
22	1	4682
23	0	1798
23	1	5671
24	0	8156
24	1	5671
25	2	5463
26	0	1103
26	1	5463
27	0	8580
27	1	7667
28	2	7667
29	2	3998
30	2	7226
31	2	4993
32	2	8602
33	0	6522
33	1	5671
34	2	7924
35	2	8212
36	2	4604
37	0	1199
37	1	4398
38	2	4398
39	0	9
39	1	5671
40	0	5405
40	1	5261
41	0	1558
41	1	5261
42	0	7044
42	1	5261
43	0	2813
43	1	5261
44	2	7087
45	0	8580
45	1	5261
46	0	7404
46	1	7679
47	0	7044
47	1	7679
48	0	7044
48	1	2412
49	0	1199
49	1	2412
50	2	4682
51	2	1837
52	2	153
53	2	3917
54	0	7404
54	1	7667
55	2	127
56	0	5405
56	1	4766
57	2	6823
58	0	7555
58	1	5748
59	0	1326
59	1	5748
60	2	2455
61	2	4153
62	0	7044
62	1	764
63	2	4766
64	2	2480
65	2	3819
66	2	624
67	2	2412
68	0	7044
68	1	624
69	0	7268
69	1	5261
70	0	1199
70	1	5261
71	2	749
72	0	1771
72	1	5261
73	0	1788
73	1	4766
74	2	5748
75	0	1199
75	1	5748
76	0	1558
76	1	5671
77	2	5671
78	2	7612
79	0	7044
79	1	4766
80	2	1740
81	2	5848
82	0	7044
82	1	1797
83	0	7071
83	1	7426
84	0	6522
84	1	7426
85	2	8572
86	0	1163
86	1	7426
87	2	577
88	0	7404
88	1	2480
89	0	7737
89	1	2480
90	0	7044
90	1	5030
91	2	5347
92	2	5662
93	2	7533
94	2	6858
95	0	2493
95	1	7250
96	2	7892
97	2	4646
98	2	1753
99	0	3774
99	1	4766
100	0	900
100	1	5261
101	0	1199
101	1	3284
102	0	1937
102	1	5261
103	0	7806
103	1	937
104	0	6332
104	1	4153
105	2	801
106	2	6610
107	0	1788
107	1	801
108	2	3226
109	2	5944
110	2	7042
111	2	7362
112	2	2760
113	2	6037
114	2	5301
115	2	4755
116	2	7679
117	2	5314
118	2	4156
119	0	7737
119	1	3819
120	0	5226
120	1	5261
121	2	4862
122	2	5261
123	2	4170
124	0	1199
124	1	4399
125	0	7737
125	1	5261
126	2	5237
127	2	7391
128	0	3774
128	1	5261
129	2	6848
130	0	1532
130	1	5671
131	0	8431
131	1	5671
132	0	6522
132	1	7250
133	2	7250
134	0	7806
134	1	7250
135	0	7404
135	1	4766
136	0	6511
136	1	4766
137	0	1558
137	1	4766
138	0	7404
138	1	7250
139	2	664
140	2	3885
141	0	5082
141	1	4766
142	2	852
143	0	1199
143	1	1403
144	0	6522
144	1	1403
145	2	5694
146	0	608
146	1	4398
147	0	2327
147	1	4398
148	0	3551
148	1	3819
149	0	4776
149	1	1753
150	2	7011
151	0	7044
151	1	7011
152	0	7693
152	1	7011
153	0	3915
153	1	7011
154	0	5405
154	1	7011
155	0	453
155	1	7011
156	0	1707
156	1	4766
157	2	4770
158	2	4285
159	0	7404
159	1	2412
160	0	6799
160	1	2412
161	0	7806
161	1	5261
162	0	5765
162	1	5261
163	0	7044
163	1	2480
164	2	8020
165	0	7044
165	1	1091
166	2	5092
167	0	7044
167	1	4062
168	2	7949
169	0	7044
169	1	8297
170	0	3551
170	1	5261
171	0	7806
171	1	5312
172	0	6522
172	1	5312
